name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;182;0;111;3141;1395;3141;1230;0
header;228;160;228;194;1774;194;1774;160
A;422;37;422;37;422;37;422;37
A;936;201;936;201;936;201;936;201
A;608;213;608;213;608;213;608;213
A;920;232;920;257;938;257;938;232
B;761;239;761;260;777;260;777;239
B;288;717;288;747;309;747;309;717
B;916;877;916;901;933;901;933;877
B;201;897;201;927;224;927;224;897
A;316;1041;316;1045;322;1045;322;1041
D;153;1087;153;1102;165;1102;165;1087
C;609;1266;609;1286;624;1286;624;1266
C;907;1521;907;1544;926;1544;926;1521
A;577;1649;577;1653;581;1653;581;1649
A;179;1696;179;1706;184;1706;184;1696
A;533;1934;533;1939;538;1939;538;1934
A;263;2186;263;2199;272;2199;272;2186
A;185;2290;185;2294;189;2294;189;2290
B;1324;2719;1324;2733;1334;2733;1334;2719
