name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;412;0;255;3147;1950;3147;1950;0
header;1860;33;1860;44;2009;44;2009;33
A;1792;45;1792;46;1793;46;1793;45
A;1914;52;1914;52;1914;52;1914;52
A;1838;60;1838;60;1838;60;1838;60
A;1110;221;1110;245;1131;245;1131;221
A;1122;373;1122;376;1125;376;1125;373
A;1528;710;1528;736;1541;736;1541;710
B;1111;867;1111;891;1129;891;1129;867
A;1109;968;1109;969;1112;969;1112;968
A;784;1034;784;1039;788;1039;788;1034
C;1107;1475;1107;1499;1126;1499;1126;1475
B;1012;1974;1012;1994;1028;1994;1028;1974
D;1107;2117;1107;2142;1129;2142;1129;2117
D;1489;2322;1489;2350;1516;2350;1516;2322
B;955;2422;955;2443;971;2443;971;2422
B;1880;2484;1880;2509;1906;2509;1906;2484
D;632;2517;632;2542;664;2542;664;2517
A;1638;2567;1638;2567;1638;2567;1638;2567
A;872;2629;872;2635;877;2635;877;2629
